SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
10,0.16098853945732117,0.024148471748590215,1,1,2,2,5.6,1,6,60.0,103.67620086669922,0,0,1,0,0,553.json,NotBuggy
4,0.09351541101932526,0.0352431340677826,1,1,2,2,2.0,0,2,43.0,120.15471649169922,0,3,1,0,0,827.json,NotBuggy
7,0.7638760209083557,0.0968175763041022,1,1,2,2,5.11,1,5,48.0,110.77831268310547,0,1,1,0,0,703.json,NotBuggy
4,0.43200579285621643,0.06698319864503503,0,0,0,1,4.0,0,4,38.0,121.47811889648438,0,1,0,0,0,124.json,NotBuggy
12,0.1679784059524536,0.025478323963598625,1,1,2,3,7.66,2,5,64.0,100.05924224853516,0,1,0,0,0,18.json,NotBuggy
3,0.7432509064674377,0.8003131009241418,0,0,0,1,3.77,0,0,15.0,131.9385528564453,0,0,0,0,0,258.json,NotBuggy
3,0.6849537491798401,0.8696223580831199,0,0,0,1,3.77,0,1,15.0,132.25152587890625,0,0,0,0,0,226.json,NotBuggy
7,0.7564986348152161,0.5945865568578722,1,1,2,2,10.22,1,0,29.0,113.8110580444336,0,0,0,0,0,309.json,NotBuggy
3,0.73414146900177,0.7258988261267054,0,0,0,1,3.77,0,3,20.0,130.44261169433594,0,1,0,0,0,1049.json,NotBuggy
3,0.10538500547409058,0.6320415226347501,0,0,0,1,3.77,0,2,20.0,130.18594360351562,0,0,0,0,0,768.json,NotBuggy
4,4.363396146800369E-4,0.0745746996467933,0,0,0,1,6.63,0,0,39.0,121.27667999267578,0,3,0,0,0,65.json,NotBuggy
4,1.3075547758489847E-4,0.09195613465791433,0,0,0,1,4.0,0,2,38.0,121.62247467041016,0,2,0,0,0,250.json,NotBuggy
3,0.6831382513046265,0.8927617356566822,0,0,0,1,3.77,0,0,13.0,132.9956512451172,0,0,0,0,0,241.json,NotBuggy
4,0.13467881083488464,0.2732717581200418,0,0,0,1,4.0,0,2,29.0,122.9537353515625,0,1,0,0,0,306.json,NotBuggy
3,0.9481608867645264,0.924067779511412,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,1028.json,NotBuggy
3,0.016360517591238022,0.5452268769326554,0,0,0,1,3.77,0,2,24.0,129.2378692626953,0,1,0,0,0,1054.json,Buggy
7,0.03720627725124359,7.393312832778593E-4,1,1,2,2,5.11,1,8,68.0,108.53195190429688,0,1,1,0,0,327.json,NotBuggy
3,0.978520929813385,0.8063271032600251,0,0,0,1,3.77,0,0,13.0,132.9956512451172,0,0,0,0,0,8.json,NotBuggy
3,0.6761637330055237,0.8025067063345086,0,0,0,1,1.89,0,0,18.0,130.99049377441406,0,0,0,0,0,1135.json,NotBuggy
3,0.4098840057849884,0.7000532338790559,0,0,0,1,3.77,0,1,18.0,130.7338104248047,0,0,0,0,0,1129.json,NotBuggy
9,0.6926217675209045,0.35717927499278523,1,1,2,3,8.53,2,2,38.0,107.95115661621094,0,0,0,0,0,1222.json,NotBuggy
3,0.9325527548789978,0.7655989715460254,0,0,0,1,3.77,0,1,16.0,131.60296630859375,0,0,0,0,0,71.json,NotBuggy
3,0.7304953932762146,0.6837892908726492,0,0,0,1,3.77,0,1,16.0,131.60296630859375,0,0,0,0,0,463.json,NotBuggy
3,0.7947214841842651,0.7181575822523746,0,0,0,1,3.77,0,0,17.0,131.03103637695312,0,1,0,0,0,620.json,NotBuggy
3,0.8675714731216431,0.8822102486132053,0,0,0,1,3.77,0,0,13.0,132.9956512451172,0,0,0,0,0,225.json,NotBuggy
3,0.01686546765267849,0.31094308506794505,0,0,0,1,3.77,0,2,26.0,128.60531616210938,0,1,0,0,0,771.json,NotBuggy
3,0.5130014419555664,0.4222672881783087,0,0,0,1,3.27,0,2,25.0,128.8092498779297,0,1,0,0,0,1093.json,NotBuggy
3,0.7505356669425964,0.8233824342420167,0,0,0,1,3.77,0,0,17.0,131.28770446777344,0,1,0,0,0,1208.json,NotBuggy
4,0.621879518032074,0.7112446334277085,0,0,0,1,4.0,0,0,20.0,125.64796447753906,0,1,0,0,0,783.json,NotBuggy
7,0.019932294264435768,0.0014809754523605635,2,1,3,2,6.24,1,4,69.0,108.72756958007812,0,1,2,0,0,146.json,NotBuggy
5,0.10196931660175323,0.05340973193254619,1,1,2,2,7.16,0,5,46.0,116.8629150390625,0,0,0,0,0,1137.json,NotBuggy
3,0.8053854703903198,0.6933614313787183,0,0,0,1,3.77,0,1,15.0,132.086669921875,0,0,0,0,0,134.json,NotBuggy
12,2.2824892948847264E-4,1.971850548950509E-6,2,1,3,2,9.71,2,8,111.0,97.00045013427734,0,2,2,0,0,405.json,NotBuggy
10,0.17950816452503204,0.0036727620789915724,0,1,1,2,7.33,2,4,67.0,102.79125213623047,0,1,3,0,0,845.json,NotBuggy
10,0.005827838089317083,1.7689838219653761E-4,1,1,2,2,5.06,1,10,82.0,101.629638671875,0,1,3,0,0,868.json,NotBuggy
13,0.07960584759712219,0.005878738257827097,3,3,6,4,4.92,1,5,74.0,97.87535095214844,0,1,1,0,0,300.json,NotBuggy
8,0.2741793096065521,0.18221034573210562,0,0,0,2,5.66,1,2,41.0,109.43476867675781,0,1,0,0,0,58.json,NotBuggy
3,0.43479111790657043,0.8581223962081186,0,0,0,1,3.77,0,0,17.0,131.28770446777344,0,1,0,0,0,598.json,NotBuggy
7,0.6752707362174988,0.3030954741808361,1,1,2,2,5.11,1,3,39.0,112.11737823486328,0,1,1,0,0,1084.json,NotBuggy
9,0.07926887273788452,3.208365065613744E-4,0,0,0,1,8.53,1,4,78.0,103.89934539794922,0,2,0,0,0,5.json,NotBuggy
7,0.07281042635440826,0.2571820396350341,2,1,3,2,6.05,1,4,42.0,112.05892944335938,0,1,0,0,0,638.json,NotBuggy
3,0.5969946980476379,0.8720806751704754,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,296.json,NotBuggy
3,0.46210476756095886,0.6245894507223408,0,0,0,1,3.77,0,1,21.0,129.93223571777344,0,1,0,0,0,918.json,NotBuggy
5,0.0026708997320383787,0.012314903615132296,2,2,4,2,5.99,1,2,48.0,116.0655288696289,0,3,0,0,0,98.json,NotBuggy
3,0.9381110668182373,0.9178638476581199,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,500.json,NotBuggy
3,0.06193891540169716,0.6569406282247042,0,0,0,1,3.77,0,1,19.0,130.45266723632812,0,1,0,0,0,536.json,NotBuggy
3,0.6222650408744812,0.8759123239915126,0,0,0,1,3.77,0,1,15.0,132.25152587890625,0,0,0,0,0,177.json,NotBuggy
9,7.78944231569767E-4,2.3205749180925378E-4,0,0,0,2,5.33,1,3,83.0,103.42412567138672,0,3,3,0,0,393.json,NotBuggy
