SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
9,0.0013817580183967948,0.0035257912538779784,0,0,0,1,6.29,0,8,66.0,104.97371673583984,0,4,1,0,0,28415.json,NotBuggy
4,0.6638079285621643,0.7801739320617211,0,0,0,1,4.0,0,0,20.0,125.64796447753906,0,1,0,0,0,29904.json,NotBuggy
3,0.9131861329078674,0.8921228970267586,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,19690.json,NotBuggy
3,0.6259955763816833,0.8533754315543325,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,13200.json,NotBuggy
3,0.537678062915802,0.8268967229662779,0,0,0,1,3.77,0,0,17.0,131.28770446777344,0,1,0,0,0,25228.json,NotBuggy
3,0.6590617299079895,0.7343994571093629,0,0,0,1,3.77,0,2,18.0,130.99049377441406,0,1,0,0,0,21211.json,NotBuggy
3,0.7611228823661804,0.5859851504622733,0,0,0,1,3.77,0,1,22.0,129.94700622558594,0,1,0,0,0,26190.json,NotBuggy
3,0.9331650733947754,0.9064557396413254,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,12836.json,NotBuggy
3,0.8965246677398682,0.9221814008673738,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,29840.json,NotBuggy
32,6.042005261406302E-4,3.8233958480244967E-8,6,7,13,7,10.71,3,17,175.0,77.09076690673828,0,4,5,0,0,9750.json,NotBuggy
3,0.919742226600647,0.9267340150344524,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,22468.json,NotBuggy
3,0.8136463165283203,0.7916198147158081,0,0,0,1,3.77,0,0,16.0,131.60296630859375,0,1,0,0,0,19360.json,NotBuggy
3,0.05948071554303169,0.8701404255797561,0,0,0,1,3.77,0,1,15.0,132.25152587890625,0,0,0,0,0,10899.json,NotBuggy
8,0.008360347710549831,0.038186836849905766,1,1,2,2,5.66,1,8,51.0,108.29985046386719,0,2,0,0,0,21413.json,NotBuggy
3,0.719274640083313,0.8772152317012158,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,21510.json,NotBuggy
3,0.8002568483352661,0.8994082954326664,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,3599.json,NotBuggy
3,0.26644641160964966,0.9219786013788891,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,27362.json,NotBuggy
6,0.061435237526893616,0.020039183465313762,2,1,3,2,12.16,1,4,57.0,112.50479888916016,0,2,0,0,0,260.json,NotBuggy
3,0.3309284746646881,0.7434605367605839,0,0,0,1,3.77,0,0,18.0,130.99049377441406,0,0,0,0,0,7920.json,NotBuggy
13,0.0016631269827485085,2.0181167290124867E-4,2,2,4,3,11.93,2,12,95.0,96.8584213256836,0,2,0,0,0,6974.json,NotBuggy
3,0.9003965854644775,0.7936923592675937,0,0,0,1,3.77,0,0,17.0,131.28770446777344,0,1,0,0,0,15933.json,NotBuggy
3,0.4711827337741852,0.84445708224871,0,0,0,1,3.77,0,1,15.0,132.25152587890625,0,0,0,0,0,5181.json,NotBuggy
3,0.8328880071640015,0.9380693492650346,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,27694.json,NotBuggy
3,0.5828334093093872,0.289234092856792,1,1,2,2,3.77,0,1,27.0,127.99288177490234,0,1,0,0,0,15918.json,NotBuggy
3,0.11688123643398285,0.9281978140884676,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,3985.json,NotBuggy
3,0.863317608833313,0.8531135755700515,0,0,0,1,3.77,0,1,16.0,131.75106811523438,0,1,0,0,0,27057.json,NotBuggy
3,0.6466289758682251,0.9045889679962142,0,0,0,1,3.77,0,0,11.0,134.26058959960938,0,0,0,0,0,22191.json,NotBuggy
3,0.30419912934303284,0.7845317194376837,0,0,0,1,3.77,0,1,14.0,132.61029052734375,0,0,0,0,0,18919.json,NotBuggy
3,0.7204355597496033,0.9184544485134776,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,11064.json,NotBuggy
