SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
3,0.7646535634994507,0.7611894267256998,0,0,0,1,3.77,0,1,17.0,131.43582153320312,0,1,0,0,0,2742.json,NotBuggy
5,0.5029907822608948,0.32185808437115837,1,1,2,2,5.99,0,1,32.0,118.7500228881836,0,1,0,0,0,3156.json,NotBuggy
11,0.07509837299585342,1.704981786057865E-4,2,2,4,3,6.17,1,9,83.0,99.90365600585938,0,2,0,0,0,6292.json,NotBuggy
7,0.06739556044340134,0.14560505595300186,1,2,3,3,6.05,0,5,45.0,111.29635620117188,0,0,0,0,0,858.json,NotBuggy
3,0.8894183039665222,0.6853563287642126,0,0,0,1,3.77,0,1,18.0,130.85629272460938,0,1,0,0,0,1581.json,NotBuggy
4,0.5050656795501709,0.6427931176840539,0,0,0,1,4.0,0,2,24.0,124.361083984375,0,1,0,0,0,194.json,NotBuggy
3,0.5201320052146912,0.8648547302795337,0,0,0,1,3.77,0,0,17.0,131.28770446777344,0,1,0,0,0,3743.json,NotBuggy
3,0.8578229546546936,0.8605259935624886,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,1268.json,NotBuggy
21,1.81339550181292E-4,1.5334393186590395E-10,11,10,21,8,7.37,6,21,178.0,84.03648376464844,0,1,1,0,0,1871.json,NotBuggy
14,0.06502407044172287,0.0010382304445420187,2,1,3,3,7.77,2,8,80.0,96.04249572753906,0,1,1,0,0,469.json,NotBuggy
19,0.003814953612163663,0.0016894519746422103,0,0,0,1,8.83,1,11,98.0,90.68539428710938,0,2,2,0,0,5395.json,NotBuggy
43,6.810161285102367E-4,1.056699727714732E-9,3,3,6,8,8.77,3,16,205.0,71.23175811767578,0,1,5,0,0,7625.json,NotBuggy
20,0.0019209336023777723,9.075404383344244E-9,7,7,14,8,5.81,0,1,173.0,85.03751373291016,0,7,0,0,0,6135.json,NotBuggy
7,0.001559145748615265,8.950572345732414E-4,0,0,0,1,3.61,0,3,69.0,108.90767669677734,0,3,2,0,0,7498.json,NotBuggy
3,0.8042219281196594,0.8633505639538718,0,0,0,1,3.77,0,0,15.0,131.9385528564453,0,0,0,0,0,188.json,NotBuggy
3,0.6993793249130249,0.8317621450696303,0,0,0,1,3.77,0,0,15.0,131.9385528564453,0,0,0,0,0,7842.json,NotBuggy
9,0.07653394341468811,0.01082979031736806,0,0,0,2,6.29,1,4,60.0,105.15254974365234,0,2,1,0,0,632.json,NotBuggy
3,0.8581308722496033,0.8713013736960377,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,1,0,0,0,7683.json,NotBuggy
3,0.32466787099838257,0.7325648262666126,0,0,0,1,3.77,0,0,17.0,131.28770446777344,0,1,0,0,0,821.json,NotBuggy
3,0.8606763482093811,0.8859812930063137,0,0,0,1,4.0,0,0,17.0,131.28770446777344,0,1,0,0,0,7758.json,NotBuggy
9,0.0,1.180285167436729E-6,0,0,0,1,32.25,0,5,108.0,101.94096374511719,0,10,1,0,0,5029.json,NotBuggy
3,0.9219390153884888,0.9069273904421394,0,0,0,1,3.77,0,1,13.0,133.18099975585938,0,0,0,0,0,7903.json,NotBuggy
3,0.4525608420372009,0.6777584376785832,0,0,0,1,3.77,0,1,21.0,129.7158966064453,0,1,0,0,0,2297.json,NotBuggy
18,0.013660117983818054,4.023142547224606E-5,3,2,5,4,8.39,3,9,103.0,90.18335723876953,0,1,1,0,0,1528.json,NotBuggy
33,0.003619980067014694,3.826475413931589E-10,8,12,20,7,11.29,4,11,191.0,76.09825897216797,0,1,8,0,0,1404.json,Buggy
13,0.3542790114879608,0.008531930475538678,3,2,5,3,5.27,1,7,92.0,96.82947540283203,0,0,3,0,0,366.json,NotBuggy
3,0.6357440948486328,0.8674596391402215,0,0,0,1,3.77,0,1,15.0,132.086669921875,0,0,0,0,0,5126.json,NotBuggy
6,0.5286064743995667,0.24139851910703197,1,1,2,2,6.53,0,1,36.0,114.83138275146484,0,2,0,0,0,6951.json,NotBuggy
3,0.7787877917289734,0.9165376097891317,0,0,0,1,1.89,0,0,16.0,131.75106811523438,0,0,0,0,0,154.json,NotBuggy
