SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Detection
11,0.4516037702560425,2,4,102.50546264648438,2930.json,NotBuggy
3,0.754743218421936,1,1,131.75106811523438,22191.json,NotBuggy
6,0.5503349900245667,2,2,115.79641723632812,18919.json,NotBuggy
2,0.9235396385192871,1,0,139.56419372558594,11064.json,NotBuggy
11,0.03740430995821953,2,6,100.90837860107422,17016.json,NotBuggy
3,0.6844356060028076,1,2,130.18594360351562,45336.json,NotBuggy
3,0.465657114982605,1,1,130.7338104248047,37148.json,NotBuggy
7,0.1513395756483078,2,4,110.62592315673828,48290.json,NotBuggy
3,0.8635024428367615,1,0,132.9956512451172,36704.json,NotBuggy
3,0.7699877023696899,1,0,132.4454345703125,22211.json,NotBuggy
7,7.047177059575915E-4,1,2,109.99524688720703,31973.json,NotBuggy
14,0.17744801938533783,3,3,96.01519775390625,7453.json,NotBuggy
4,0.562269389629364,1,0,125.64796447753906,10773.json,NotBuggy
3,0.8181462287902832,1,0,132.61029052734375,2527.json,NotBuggy
3,0.7508431077003479,1,1,130.18594360351562,39817.json,NotBuggy
5,0.24037684500217438,2,1,118.43477630615234,3466.json,NotBuggy
16,0.059401534497737885,3,6,92.12332916259766,21319.json,NotBuggy
4,0.6378070116043091,1,1,123.94486236572266,25798.json,NotBuggy
23,0.0,7,21,79.3592300415039,27760.json,NotBuggy
4,0.06580193340778351,2,2,119.75467681884766,49919.json,NotBuggy
4,0.028180744498968124,1,2,122.12659454345703,11590.json,NotBuggy
21,0.0,2,6,83.87445068359375,27418.json,NotBuggy
3,0.42611992359161377,1,1,128.1388702392578,26803.json,NotBuggy
3,0.9075794219970703,1,0,133.59722900390625,45792.json,NotBuggy
3,0.9650843739509583,2,2,129.8434600830078,12805.json,NotBuggy
5,5.866357823833823E-4,2,4,115.95831298828125,27668.json,NotBuggy
10,0.4959547519683838,2,2,105.33577728271484,26.json,NotBuggy
3,0.08590639382600784,1,1,129.34671020507812,22590.json,NotBuggy
7,0.6524009704589844,2,1,111.53955078125,15807.json,NotBuggy
31,1.287853083340451E-4,7,8,77.45288848876953,23338.json,NotBuggy
4,0.06923186779022217,1,0,123.46312713623047,38117.json,NotBuggy
13,0.0011299450416117907,2,8,95.31336212158203,20134.json,NotBuggy
3,0.4145544767379761,1,1,130.7338104248047,40304.json,NotBuggy
3,0.8851800560951233,1,0,132.79563903808594,326.json,NotBuggy
7,0.09384725242853165,3,3,111.21749877929688,39260.json,NotBuggy
25,8.160139550454915E-4,4,6,85.10186004638672,21242.json,NotBuggy
22,0.010860823094844818,5,15,83.7513656616211,2812.json,NotBuggy
4,0.8813978433609009,1,1,124.39620971679688,40368.json,NotBuggy
5,0.7091891169548035,2,1,121.18495178222656,2253.json,NotBuggy
3,0.898715078830719,1,0,130.45266723632812,5045.json,NotBuggy
3,0.8523359298706055,1,1,129.69032287597656,44378.json,NotBuggy
3,0.9282608032226562,1,0,133.59722900390625,19558.json,NotBuggy
3,0.966515064239502,1,0,133.59722900390625,35508.json,NotBuggy
11,0.5195209383964539,3,1,102.4500503540039,26594.json,NotBuggy
3,0.7765828967094421,1,0,129.81976318359375,4917.json,NotBuggy
5,0.7977291345596313,2,1,119.80731201171875,4180.json,NotBuggy
3,0.6162551045417786,1,0,133.59722900390625,16446.json,NotBuggy
5,0.9390995502471924,1,2,116.20380401611328,49334.json,NotBuggy
3,0.4002508521080017,1,0,132.4454345703125,2013.json,NotBuggy
3,0.9615417718887329,1,0,133.59722900390625,23472.json,NotBuggy
4,0.45877552032470703,2,2,121.32042694091797,18744.json,NotBuggy
3,0.1487470418214798,1,0,129.47398376464844,4795.json,NotBuggy
9,0.47960546612739563,2,0,107.40138244628906,49096.json,NotBuggy
3,0.005402039270848036,1,1,128.83535766601562,16315.json,NotBuggy
10,0.17771218717098236,2,6,104.17341613769531,1731.json,Buggy
9,0.2018955945968628,2,6,106.70701599121094,44013.json,NotBuggy
3,0.897197425365448,1,0,131.28770446777344,36995.json,NotBuggy
4,0.371452271938324,1,2,125.52845764160156,37463.json,NotBuggy
4,0.9454224109649658,2,2,123.33242797851562,2546.json,Buggy
5,0.6958678960800171,1,2,120.85002136230469,47965.json,NotBuggy
3,0.908126950263977,1,0,131.46876525878906,15772.json,NotBuggy
3,0.9108030200004578,1,0,133.59722900390625,40874.json,NotBuggy
7,0.6775217652320862,2,1,112.90506744384766,49405.json,NotBuggy
3,0.91163569688797,1,0,132.9956512451172,22714.json,NotBuggy
32,0.0,6,4,75.8003921508789,47676.json,NotBuggy
10,0.06793602555990219,3,3,102.3829345703125,2773.json,NotBuggy
16,0.4577917754650116,5,4,94.98309326171875,20567.json,NotBuggy
27,0.0,6,24,78.34359741210938,26376.json,NotBuggy
8,0.40938082337379456,2,3,108.5677719116211,15842.json,NotBuggy
7,0.5700356960296631,1,8,110.63240814208984,19092.json,NotBuggy
6,0.05704347789287567,2,1,114.09278106689453,2121.json,NotBuggy
3,0.6375973224639893,1,1,132.25152587890625,12972.json,NotBuggy
3,0.6850970983505249,1,0,131.9385528564453,16469.json,NotBuggy
12,0.020404858514666557,2,2,98.00933837890625,47764.json,NotBuggy
3,0.7147354483604431,1,1,132.25152587890625,2094.json,NotBuggy
3,0.3151489794254303,1,1,129.47398376464844,2942.json,NotBuggy
5,0.2820461690425873,1,2,120.54627227783203,37002.json,NotBuggy
3,0.9764367938041687,1,0,133.59722900390625,41040.json,NotBuggy
3,0.3551287353038788,1,2,127.62944793701172,34939.json,NotBuggy
3,0.8178226947784424,1,0,133.59722900390625,41028.json,NotBuggy
24,0.0037892998661845922,5,13,82.09827423095703,18219.json,NotBuggy
3,0.0,1,1,126.2267074584961,51032.json,NotBuggy
3,0.6413357257843018,1,1,130.57513427734375,21471.json,NotBuggy
5,0.5804947018623352,1,1,120.85002136230469,25701.json,NotBuggy
3,0.6122452616691589,1,0,133.59722900390625,44941.json,NotBuggy
7,0.9737216234207153,1,0,112.62112426757812,21231.json,NotBuggy
17,0.04711003974080086,2,7,91.30252838134766,7870.json,NotBuggy
7,1.9983749371021986E-4,1,4,108.33724212646484,30461.json,NotBuggy
13,0.025005066767334938,5,1,96.04094696044922,18293.json,NotBuggy
8,0.001828553038649261,2,7,106.30162048339844,44910.json,NotBuggy
9,0.25053757429122925,3,0,106.02847290039062,40582.json,NotBuggy
9,0.06203293055295944,2,2,103.12462615966797,49378.json,NotBuggy
5,0.7734739780426025,2,1,116.01564025878906,21026.json,NotBuggy
3,0.9063408374786377,1,0,133.59722900390625,4376.json,NotBuggy
3,0.7128491401672363,1,1,130.85629272460938,28259.json,NotBuggy
3,0.8265872597694397,1,0,132.9956512451172,44930.json,NotBuggy
9,0.0033062708098441362,3,3,102.79048156738281,20871.json,NotBuggy
3,0.9294750690460205,1,0,133.59722900390625,88.json,NotBuggy
3,0.5032734870910645,1,2,129.0215301513672,47948.json,NotBuggy
3,0.7461753487586975,1,1,132.086669921875,28406.json,NotBuggy
3,0.6631789803504944,1,1,130.05470275878906,12122.json,NotBuggy
23,0.001109426491893828,4,4,85.46713256835938,49007.json,NotBuggy
9,0.32961103320121765,2,2,106.02811431884766,44087.json,NotBuggy
11,0.22300399839878082,2,7,100.64705657958984,2742.json,NotBuggy
8,0.09119002521038055,2,1,107.78910827636719,9125.json,NotBuggy
3,0.9333877563476562,1,0,133.59722900390625,4257.json,NotBuggy
1,0.9639264345169067,1,0,151.39474487304688,14755.json,NotBuggy
3,0.9207385778427124,1,0,133.59722900390625,14124.json,NotBuggy
5,0.809106707572937,1,1,122.29976654052734,7284.json,NotBuggy
3,0.527396559715271,1,0,133.59722900390625,22044.json,NotBuggy
4,0.8019292950630188,1,0,128.936767578125,18132.json,NotBuggy
3,0.9401071667671204,1,0,133.59722900390625,11890.json,NotBuggy
21,0.051086947321891785,2,3,88.7366943359375,14130.json,Buggy
3,0.059058431535959244,1,1,129.57785034179688,50334.json,NotBuggy
6,0.09675809741020203,2,2,113.85087585449219,26601.json,NotBuggy
6,0.284951776266098,2,3,112.20259857177734,32110.json,NotBuggy
2,0.9413015842437744,1,0,140.82913208007812,38515.json,NotBuggy
3,0.06015930697321892,1,2,128.1388702392578,22862.json,NotBuggy
3,0.7889803647994995,1,0,132.4454345703125,46683.json,NotBuggy
3,0.366877019405365,1,0,133.59722900390625,20488.json,NotBuggy
3,0.3535877466201782,1,0,133.59722900390625,20282.json,NotBuggy
3,0.5804749131202698,1,0,133.59722900390625,20671.json,NotBuggy
29,2.6969279861077666E-4,9,25,76.7503433227539,8305.json,NotBuggy
14,4.4676923425868154E-4,2,10,93.47714233398438,37776.json,NotBuggy
5,0.007896259427070618,1,3,117.09105682373047,23482.json,NotBuggy
3,0.8435710072517395,1,0,133.59722900390625,15054.json,NotBuggy
3,0.9596676230430603,1,0,132.9956512451172,12011.json,NotBuggy
8,0.6320884227752686,2,1,110.82284545898438,42245.json,NotBuggy
4,0.5866188406944275,2,0,123.14331817626953,46235.json,NotBuggy
9,0.0,2,6,101.38715362548828,8351.json,NotBuggy
7,0.11697056144475937,2,1,112.39112091064453,26119.json,NotBuggy
3,0.7447842359542847,1,0,133.59722900390625,37544.json,NotBuggy
3,0.8534176349639893,1,0,130.45266723632812,12806.json,NotBuggy
3,0.7042097449302673,1,0,133.59722900390625,1747.json,NotBuggy
23,0.06289741396903992,4,9,85.86477661132812,16900.json,NotBuggy
6,0.0018149977549910545,2,0,111.94122314453125,47502.json,NotBuggy
125,0.0,32,50,39.14045715332031,14257.json,NotBuggy
3,0.9333877563476562,1,0,133.59722900390625,38967.json,NotBuggy
19,0.06705128401517868,5,5,89.84042358398438,1581.json,NotBuggy
4,0.39670035243034363,1,2,126.04888916015625,45223.json,NotBuggy
4,0.49662497639656067,1,4,121.30619812011719,10520.json,NotBuggy
5,0.45451974868774414,2,1,119.80731201171875,39737.json,NotBuggy
3,0.74656081199646,1,0,132.9956512451172,32022.json,NotBuggy
19,9.637458715587854E-4,5,8,88.56059265136719,23160.json,NotBuggy
15,0.005268094129860401,5,7,92.1943588256836,194.json,NotBuggy
9,0.1052914708852768,3,3,106.20616912841797,47047.json,NotBuggy
3,0.7643102407455444,1,0,132.25152587890625,22869.json,NotBuggy
8,0.5976709127426147,2,2,108.18831634521484,23419.json,NotBuggy
7,0.9675043225288391,2,1,110.7552719116211,18486.json,NotBuggy
8,0.6415519118309021,6,4,104.69688415527344,6816.json,NotBuggy
19,0.26478204131126404,5,4,89.85233306884766,27206.json,NotBuggy
3,0.00459478422999382,1,0,128.14134216308594,3743.json,NotBuggy
3,0.7285026907920837,1,0,133.59722900390625,1268.json,NotBuggy
9,0.12224125117063522,3,0,106.93548583984375,50783.json,NotBuggy
