SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Detection
4,0.021436793729662895,0.4325585509431654,0,0,0,1,1.66,0,1,28.0,123.46312713623047,0,1,0,0,0,5277.json,NotBuggy
12,0.32555651664733887,0.4432879180467054,2,2,4,3,2.36,1,3,49.0,101.83221435546875,0,1,0,0,0,12309.json,NotBuggy
24,4.358381265774369E-4,1.5287300352675307E-9,0,0,0,2,1.76,1,16,178.0,82.87443542480469,0,4,5,0,0,4587.json,NotBuggy
8,0.22858190536499023,0.12659651871804306,1,1,2,2,1.41,1,7,47.0,108.78446960449219,0,1,0,0,0,36359.json,NotBuggy
91,0.0,7.105406222545305E-32,12,15,27,18,8.13,3,50,517.0,51.48155975341797,0,6,13,0,0,24799.json,Buggy
1,0.9820945858955383,0.8374438609515868,0,0,0,1,0.0,0,0,12.0,151.39474487304688,0,0,0,0,0,24811.json,NotBuggy
3,0.9298040270805359,0.92644589581856,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,5352.json,NotBuggy
5,0.12982697784900665,0.8953275996600885,0,0,0,1,1.79,0,0,19.0,122.58207702636719,0,0,0,0,0,15594.json,NotBuggy
66,0.0,2.3942306010268516E-18,11,17,28,16,7.19,4,40,411.0,58.85348892211914,0,1,3,0,0,30505.json,Buggy
28,0.0024175692815333605,2.4428193315594617E-11,4,5,9,6,1.1,1,11,218.0,78.32176208496094,0,1,9,0,0,5916.json,NotBuggy
2,0.9145578742027283,0.9110896071088864,0,0,0,1,0.0,0,0,11.0,140.82913208007812,0,1,0,0,0,18538.json,NotBuggy
3,0.3446371853351593,0.9417826797573791,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,6394.json,NotBuggy
3,0.6872554421424866,0.8866801737543881,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,8517.json,NotBuggy
15,0.0168253593146801,5.304984051954413E-5,1,1,2,2,0.88,1,15,120.0,93.55538940429688,0,0,1,0,0,29478.json,NotBuggy
3,0.8870411515235901,0.8947552042274598,0,0,0,1,0.94,0,0,13.0,132.9956512451172,0,0,0,0,0,13704.json,NotBuggy
8,0.33904504776000977,0.0872047516534489,2,2,4,2,4.8,1,4,48.0,108.80433654785156,0,1,1,0,0,27970.json,NotBuggy
11,0.8156945109367371,0.2883134904965651,2,2,4,3,1.67,1,0,57.0,102.22099304199219,0,1,2,0,0,32781.json,NotBuggy
21,0.005046042613685131,6.710784008487213E-8,4,4,8,4,1.7,2,8,145.0,85.8545150756836,0,3,6,0,0,12174.json,NotBuggy
3,0.9334432482719421,0.9295817060476962,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,28773.json,NotBuggy
3,0.7573984265327454,0.9534264258876474,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,33857.json,NotBuggy
3,0.5352123975753784,0.6225230143817593,0,0,0,1,0.94,0,1,21.0,129.81976318359375,0,1,0,0,0,28920.json,NotBuggy
